TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-11-11 12:45:32.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-135C
2025-11-11 12:45:32.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 12:45:32.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 12:45:32.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 12:45:33.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 12:45:33.134,0.2638427243089964,0.7597548189312856,0.9971608807279231,0,0.1991735688692299,0.2223899839001177,0.6749434452781137,0,0.4224860838076124,0.1238803997899663,0.5434495719327513,0,0.5346565895014206,0.1472203932936467,0.05204667581442186,0,0.2595106964355283,-0.1695269614506688,-0.183630482390165,0,843.7362637362637,798.6080586080586,792.967032967033,909.8168498168499,921.0989010989011,0.109070,-0.073975,0.951050,3.506622,0.538330,35.791473,323956.043956,118426080.586081,60204249.084249,93.951752,1,2,1,1,2,40.000000
2025-11-11 12:45:34.134,0.2638427243089964,0.9206951123434836,1.270957669094631,0,0.1991735688692299,0.4945371846912737,0.7149952987495815,0,0.4224860838076124,0.2716369583749866,0.4796306599014521,0,0.5346565895014206,0.1108930914809153,-0.05871365881615309,0,0.2595106964355283,-0.07781415500390809,-0.2718928467505345,0,806.2637362637363,797.3992673992674,793.7728937728938,888.8644688644689,636.6300366300367,0.148254,0.061035,0.932373,12.628326,10.482483,38.670044,302197.802198,118392234.432234,60053553.113553,111.713295,1,2,1,1,2,40.000000
2025-11-11 12:45:35.136,0.2638427243089964,0.9095912154850996,1.495753912738274,0,0.1991735688692299,0.5960125623493208,1.032822950106172,0,0.4224860838076124,0.3832557517869616,0.742854783954924,0,0.5346565895014206,0.1005915940785032,-0.07638562873775141,0,0.2595106964355283,-0.006566024846405174,-0.2271123513052206,0,815.5311355311355,799.4139194139194,793.3699633699634,986.3736263736264,1018.205128205128,0.299561,-0.059753,0.922974,6.751556,0.343933,21.959381,302197.802198,118182710.622711,59740073.260073,114.164497,1,2,1,1,2,40.000000
2025-11-11 12:45:35.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 12:45:36.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 12:45:36.144,0.2638427243089964,0.8077438937031141,1.43935678456128,0,0.1991735688692299,0.4166714569077296,1.048651729997736,0,0.4224860838076124,0.4801364891189445,0.6594055296980393,0,0.5346565895014206,0.07687832706384796,0.06369737456329745,0,0.2595106964355283,0.1499587325866946,-0.1948063256148399,0,841.7216117216118,805.0549450549451,772.4175824175825,905.3846153846154,1006.923076923077,0.086487,-0.033386,0.910828,-9.069366,5.517883,41.929932,303003.663004,118290695.970696,59711868.131868,114.164497,1,2,1,1,2,40.000000
