TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-11-11 13:11:38.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-135C
2025-11-11 13:11:38.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 13:11:38.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 13:11:39.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 13:11:39.059,0,0.2095119698098143,0,0.7765252548391758,0,0.4101738904239692,0,0.8809508973922928,0,0.6688939457543021,0,1.086249469798927,0,1.348588206789552,0,0.980990918851655,0,1.224443889043194,0,0.6393075273216563,861.8681318681319,788.5347985347986,809.0842490842491,810.2930402930403,714.3956043956044,-0.405212,0.076843,0.915649,-0.366364,-0.000000,1.158905,315897.435897,149558901.098901,77859853.479853,71.895561,1,2,1,1,2,45.000000
2025-11-11 13:11:40.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 13:11:40.062,0,-0.2909811933963802,0,0.7765252548391758,0,-0.1520917833192031,0,0.8809508973922928,0,0.7399397640467361,0,1.086249469798927,0,1.373322638551848,0,0.980990918851655,0,1.248380979112304,0,0.6393075273216563,877.5824175824176,817.948717948718,820.3663003663004,811.9047619047619,725.2747252747253,-0.480713,0.032654,0.908203,-0.859833,3.768311,1.914062,318315.018315,149388864.468864,77737362.637363,75.296326,1,2,1,1,2,45.000000
2025-11-11 13:11:40.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 13:11:40.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-11-11 13:11:41.058,0,-0.844624358102006,0,0.7765252548391758,0,-0.5339070919493928,0,0.8809508973922928,0,0.3257796294665501,0,1.086249469798927,0,1.434135135518123,0,0.980990918851655,0,1.29798062811713,0,0.6393075273216563,825.2014652014652,786.1172161172161,815.934065934066,782.0879120879121,815.1282051282052,-0.420715,0.020996,0.897461,-1.958923,-10.512390,3.603821,317509.157509,149269597.069597,77684175.824176,75.296326,1,2,1,1,2,45.000000
2025-11-11 13:11:41.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
