TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-11-11 11:33:19.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-135C
2025-11-11 11:33:20.143,1.830141348673915,0.6917933142543717,0.3046781248989063,1.398302025019619,1.524100380011369,0.3240255028456521,0.2397592899981156,0.8252988513320575,1.048441214094324,0.6419734128666277,0.5037323300578678,0.8717301095056589,0.5167376763938498,0.7199191826424781,1.293353604793088,0.8259241426955327,0.0969638357298605,0.7897182303343508,0.6739112474987972,0.9121928053545446,787.7289377289378,796.5934065934066,446.4468864468865,803.8461538461539,663.6263736263736,-0.189514,0.247192,0.924011,9.974060,-6.983337,-11.439514,332820.512821,156431282.051282,82178461.538462,81.622063,1,1,1,4,1,40.000000
2025-11-11 11:33:21.143,1.320645545482248,0.4118886040906948,0.3046781248989063,1.004539842352016,1.2682995358711,-0.02020848846861402,0.2397592899981156,0.6253214640944256,0.6393058818531229,0.3642469803030058,0.5037323300578678,0.9298961218980889,0.7384672300301611,0.6485408646357407,1.293353604793088,0.8397649545290562,0.5172332801585291,0.5151901801475548,0.6739112474987972,0.5858829791060939,765.5677655677656,791.3553113553114,1226.117216117216,792.1611721611722,718.021978021978,-0.269775,0.283569,0.891174,-6.616974,-11.716156,-0.052338,327179.487179,156451428.571429,82688571.428571,81.622063,1,1,1,4,1,40.000000
2025-11-11 11:33:22.146,1.284956964044207,0.1356411174124283,0.3046781248989063,1.150487724060976,1.321360818598889,-0.0934805368738099,0.2397592899981156,0.8199541743883747,0.668376772020149,0.2478513498807761,0.5037323300578678,0.8203240485420221,0.7232320204182705,0.5322861694636996,1.293353604793088,0.8055945876018383,0.5362908684370836,0.6001527681697819,0.6739112474987972,0.5700463173292711,791.3553113553114,790.1465201465202,1304.285714285714,762.7472527472528,585.4578754578755,-0.331970,0.181396,0.921509,9.674988,-10.669403,13.929291,329597.069597,156241904.761905,83476703.296703,99.246895,1,1,1,4,1,40.000000
2025-11-11 11:33:23.151,1.276797822411183,0.319796498665054,0.3046781248989063,1.574341193769473,1.451622758229308,0.2629005952955286,0.2397592899981156,1.257395960788302,0.6243063697385806,0.6851688724970252,0.5037323300578678,0.5945668728926875,0.6870845977748422,0.4025586129145566,1.293353604793088,0.9680773404075275,0.5923766645752098,0.5118678477368969,0.6739112474987972,0.4739189318415766,791.3553113553114,761.1355311355312,1378.021978021978,840.9157509157509,633.8095238095239,-0.280396,0.389282,0.898071,-42.229004,37.720490,13.308716,320732.600733,156050915.750916,83716043.956044,109.669044,1,1,1,4,1,40.000000
2025-11-11 11:33:23.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 11:33:23.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 11:33:24.143,1.276797822411183,0.6553012005836708,0.3046781248989063,1.574341193769473,1.451622758229308,0.5601764744994515,0.2397592899981156,1.257395960788302,0.6243063697385806,0.6717574178752271,0.5037323300578678,0.5945668728926875,0.6870845977748422,0.4231865659368843,1.293353604793088,0.9680773404075275,0.5923766645752098,0.2814571016247223,0.6739112474987972,0.4739189318415766,831.6483516483516,806.2637362637363,699.8901098901099,788.5347985347986,971.4652014652015,-0.201233,0.184326,0.963501,5.914154,-13.510590,20.172424,323956.043956,155989670.329670,83130183.150183,109.669044,1,1,1,4,1,40.000000
2025-11-11 11:33:24.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 11:33:25.143,1.276797822411183,0.6796239116830565,0.3046781248989063,1.574341193769473,1.451622758229308,0.6119451971759226,0.2397592899981156,1.257395960788302,0.6243063697385806,0.6717574178752271,0.5037323300578678,0.5945668728926875,0.6870845977748422,0.4229695401966788,1.293353604793088,0.9680773404075275,0.5923766645752098,0.2460925520695121,0.6739112474987972,0.4739189318415766,905.3846153846154,772.014652014652,10.47619047619048,921.9047619047619,706.3369963369963,-0.022766,0.163574,1.013367,-6.011353,-19.335022,112.548370,351355.311355,157096923.076923,82433113.553114,109.669044,1,2,1,4,2,40.000000
2025-11-11 11:33:26.143,1.276797822411183,0.6796239116830565,0.3046781248989063,1.574341193769473,1.451622758229308,0.6119451971759226,0.2397592899981156,1.257395960788302,0.6243063697385806,0.6717574178752271,0.5037323300578678,0.5945668728926875,0.6870845977748422,0.4229695401966788,1.293353604793088,0.9680773404075275,0.5923766645752098,0.2460925520695121,0.6739112474987972,0.4739189318415766,887.2527472527473,799.0109890109891,1096.776556776557,823.5897435897436,754.2857142857143,0.301758,0.292847,0.939514,4.329071,-6.579590,5.151520,381978.021978,157033260.073260,83344542.124542,109.669044,1,2,1,4,2,40.000000
2025-11-11 11:33:27.143,1.276797822411183,0.8212608162976268,0.3046781248989063,1.574341193769473,1.451622758229308,0.6927548597945327,0.2397592899981156,1.257395960788302,0.6243063697385806,0.6539726783178456,0.5037323300578678,0.5945668728926875,0.6870845977748422,0.1932773320859945,1.293353604793088,0.9680773404075275,0.5923766645752098,0.07479175246007516,0.6739112474987972,0.4739189318415766,845.3479853479854,790.952380952381,985.9706959706961,805.8608058608058,751.0622710622711,0.332703,0.187439,0.992981,20.075226,5.794525,45.892639,444835.164835,156785054.945055,83160805.860806,109.669044,1,2,1,4,2,40.000000
2025-11-11 11:33:28.143,1.276797822411183,1.023933720322747,0.3046781248989063,0.5284096296576434,1.451622758229308,0.8411412296144931,0.2397592899981156,0.948412957564846,0.6243063697385806,0.6868094033184335,0.5037323300578678,0.874723693412187,0.6870845977748422,0.2561274273860019,1.293353604793088,1.129033367784471,0.5923766645752098,0.01329888032097679,0.6739112474987972,0.8113276958315697,730.9157509157509,791.3553113553114,208.3150183150183,812.7106227106227,656.7765567765568,0.199646,0.095825,0.944702,2.871094,-9.046936,47.986145,418241.758242,156060586.080586,83093113.553114,109.669044,1,2,1,4,2,40.000000
2025-11-11 11:33:29.143,1.276797822411183,0.6926003095822778,0.3046781248989063,0.5138500032836469,1.451622758229308,0.4853140252087263,0.2397592899981156,0.8162002722238214,0.6243063697385806,0.3656490063351551,0.5037323300578678,0.9016572276104778,0.6870845977748422,0.1285854833205044,1.293353604793088,1.033233986344198,0.5923766645752098,-0.01211602919474354,0.6739112474987972,0.8505464320499193,851.7948717948718,792.1611721611722,649.92673992674,800.6227106227107,699.0842490842491,0.307922,0.276428,0.917236,12.411499,2.818756,38.498077,326373.626374,156100073.260073,82850549.450549,109.669044,1,1,1,4,1,40.000000
2025-11-11 11:33:30.143,1.276797822411183,0.555990249950909,0.3046781248989063,0.6807267560502711,1.451622758229308,0.1627629625924604,0.2397592899981156,0.8265601525704042,0.6243063697385806,0.3679642213087208,0.5037323300578678,1.173102860838954,0.6870845977748422,0.1720951110446002,1.293353604793088,1.10524859395518,0.5923766645752098,-0.007755847438342177,0.6739112474987972,1.004009420660144,873.956043956044,844.1391941391942,1567.399267399268,803.8461538461539,899.7435897435897,-0.080444,0.346008,1.199829,12.680664,52.158203,86.028137,441611.721612,156080732.600733,86733992.673993,109.669044,1,1,1,4,1,40.000000
2025-11-11 11:33:30.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 11:33:31.142,1.276797822411183,0.9711463070180471,0.3046781248989063,1.312726014854522,1.451622758229308,0.4410439218721132,0.2397592899981156,1.133731301561867,0.6243063697385806,0.561517396285115,0.5037323300578678,1.283544041897921,0.6870845977748422,0.4571614964070342,1.293353604793088,1.217517504022064,0.5923766645752098,0.4584916192777598,0.6739112474987972,1.172578738021028,834.4688644688645,811.5018315018315,733.3333333333334,781.6849816849817,622.5274725274726,-0.314941,0.188049,0.959412,-2.474823,-3.207550,14.833984,461758.241758,156928498.168498,87323076.923077,109.669044,1,1,1,4,1,40.000000
2025-11-11 11:33:31.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
