TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-11-11 12:55:21.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-135C
2025-11-11 12:55:22.709,0.7270757723389616,0.6097630129185091,0.5183619512898543,0.5179854698507192,0.2539298173516414,-0.01718606017690424,0.08886425209978152,0.6117639550711662,0.4897054934884992,0.2016178847868525,0.4135151916756727,0.6595190630010906,0.7139509887855092,0.4510757808012268,0.5498340757541793,0.7098596100622599,0.2749775855721617,0.2946044084421225,0.3894225412608452,0.1720813731423977,800.2197802197802,802.2344322344322,802.6373626373627,796.5934065934066,968.2417582417582,-0.259644,0.060852,0.963196,-2.130890,-1.674805,-0.949554,386813.186813,180329084.249084,71179267.399267,68.427429,1,2,1,1,2,40.000000
2025-11-11 12:55:23.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 12:55:23.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 12:55:23.703,0.7270757723389616,0.7924011510923901,0.5183619512898543,0.5179854698507192,0.2539298173516414,0.3577670560891781,0.08886425209978152,0.6117639550711662,0.4897054934884992,0.3329780000127697,0.4135151916756727,0.6595190630010906,0.7139509887855092,0.3377943355000668,0.5498340757541793,0.7098596100622599,0.2749775855721617,-0.01873269646927282,0.3894225412608452,0.1720813731423977,762.3443223443223,758.7179487179487,759.1208791208792,775.6410256410256,535.0915750915751,-0.253418,0.054382,0.967529,-0.493469,-1.936493,-0.665436,390842.490842,180530549.450549,71237289.377289,69.470016,1,2,1,1,2,40.000000
2025-11-11 12:55:24.712,0.7270757723389616,0.8160897822448328,0.5183619512898543,0.5179854698507192,0.2539298173516414,0.3858871265631378,0.08886425209978152,0.6117639550711662,0.4897054934884992,0.3316083210353329,0.4135151916756727,0.6595190630010906,0.7139509887855092,0.3285534962306941,0.5498340757541793,0.7098596100622599,0.2749775855721617,0.001071009538041347,0.3894225412608452,0.1720813731423977,782.0879120879121,771.6117216117216,780.8791208791209,772.8205128205128,738.5714285714286,-0.268433,0.044922,0.962952,-0.022430,-1.525269,0.994415,391648.351648,180746520.146520,71325128.205128,70.867584,1,2,1,1,2,40.000000
2025-11-11 12:55:25.711,0.8352562979142242,0.8160897822448328,0.5183619512898543,0.8066012054479186,1.588842921443018,0.3858871265631378,0.08886425209978152,1.511804391505049,1.076834634484429,0.3316083210353329,0.4135151916756727,0.9351179979616026,0.9028093728003187,0.3285534962306941,0.5498340757541793,0.710494098893005,0.2340198202018486,0.001071009538041347,0.3894225412608452,0.09730507552462798,792.967032967033,794.981684981685,784.5054945054945,795.7875457875458,863.4798534798535,-0.267212,0.049988,0.960449,-0.635529,-1.958923,-0.269165,390036.630037,180512014.652015,71314652.014652,70.497421,1,1,1,1,1,40.000000
2025-11-11 12:55:26.702,0.8352562979142242,0.5856397208197212,0.5183619512898543,0.8066012054479186,1.588842921443018,0.05135859236059108,0.08886425209978152,1.511804391505049,1.076834634484429,0.3344352550004739,0.4135151916756727,0.9351179979616026,0.9028093728003187,0.2110149565009139,0.5498340757541793,0.710494098893005,0.2340198202018486,-0.03659876142257074,0.3894225412608452,0.09730507552462798,742.6007326007326,762.7472527472528,750.2564102564103,749.047619047619,597.948717948718,-0.269226,0.046692,0.963257,-0.695343,-2.115936,-1.570129,392454.212454,179965641.025641,71177655.677656,69.866394,1,1,1,1,1,40.000000
2025-11-11 12:55:27.707,0.9391441490745566,0.7834939971995954,0.5183619512898543,0.6364291730031189,0.6920214592815074,0.3480610118746187,0.08886425209978152,0.4808110796433682,0.9161823856278006,0.7199527978782451,0.4135151916756727,0.7423404744744596,0.8181402856871998,0.2353273518463048,0.5498340757541793,0.7093053202014823,-0.03007267608163523,-0.1138155444966057,0.3894225412608452,0.1670623918681244,777.6556776556777,778.8644688644689,780.0732600732601,771.6117216117216,592.7106227106227,-0.279297,0.046143,0.958069,-0.149536,-0.657959,-0.134583,392454.212454,179859267.399267,71109963.369963,69.538017,1,1,1,1,1,40.000000
2025-11-11 12:55:28.702,1.21037438822837,0.7823997088814473,0.5183619512898543,0.6364291730031189,0.8222047696690233,0.6191846263280789,0.08886425209978152,0.4808110796433682,1.002985844194634,0.7032419147431443,0.4135151916756727,0.7423404744744596,0.6918780799765328,0.3177814589891587,0.5498340757541793,0.7093053202014823,0.07574764449357103,-0.1684286479141091,0.3894225412608452,0.1670623918681244,794.5787545787546,773.2234432234433,774.4322344322345,780.8791208791209,796.996336996337,-0.285095,0.054077,0.957764,-0.538330,-1.383209,-0.261688,392454.212454,179917289.377289,70987472.527473,69.539085,1,1,1,1,1,40.000000
2025-11-11 12:55:29.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-11-11 12:55:29.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 12:55:29.702,1.21037438822837,0.7673081199955493,0.5183619512898543,0.6364291730031189,0.8222047696690233,0.7229922736827853,0.08886425209978152,0.4808110796433682,1.002985844194634,1.119015124715027,0.4135151916756727,0.7423404744744596,0.6918780799765328,0.2641308202271439,0.5498340757541793,0.7093053202014823,0.07574764449357103,-0.1291607994727419,0.3894225412608452,0.1670623918681244,759.5238095238095,769.1941391941392,780.4761904761905,792.967032967033,607.2161172161173,-0.260925,0.055542,0.961975,1.024323,1.136475,-0.112152,390842.490842,180293626.373626,71099487.179487,69.674385,1,1,1,1,1,40.000000
2025-11-11 12:55:30.703,1.21037438822837,0.9176694732751144,0.5183619512898543,0.6364291730031189,0.8222047696690233,0.857694195558979,0.08886425209978152,0.4808110796433682,1.002985844194634,1.118805154652529,0.4135151916756727,0.7423404744744596,0.6918780799765328,0.2854917319957622,0.5498340757541793,0.7093053202014823,0.07574764449357103,-0.02434344498813659,0.3894225412608452,0.1670623918681244,733.3333333333334,767.5824175824176,759.5238095238095,732.1245421245421,651.5384615384615,-0.263977,0.016052,0.967834,-2.557068,-3.558960,-2.347717,396483.516484,180499926.739927,71381538.461538,70.184723,1,2,1,1,2,40.000000
