TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-11-11 10:02:27.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-135C
2025-11-11 10:02:27.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 10:02:27.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-11-11 10:02:27.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 10:02:27.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-11-11 10:02:28.306,0.7327472823067691,0.836721723528132,0.8732324626640258,0.376114215654512,0.9763312423494332,0.5132055821685301,0.38672621147639,-0.2423250181736182,0.8797830003333057,0.4860926015868686,0.2903084008986063,0.4695816387676991,1.101136687864021,0.4116044949835665,-0.04448005512475855,0.4446885484061203,0.7044938627663447,-0.1378671538411841,-0.4406388720358289,-0.1194684007450885,762.7472527472528,1504.945054945055,1.208791208791209,640.2564102564103,599.1575091575091,0.318787,-0.114197,0.843811,-21.495819,20.209808,-41.653290,329597.069597,118996630.036630,19171428.571429,93.377472,1,1,4,4,1,70.000000
2025-11-11 10:02:29.301,0.7327472823067691,0.836721723528132,0.8732324626640258,0.376114215654512,0.9763312423494332,0.5132055821685301,0.38672621147639,-0.2423250181736182,0.8797830003333057,0.4860926015868686,0.2903084008986063,0.4695816387676991,1.101136687864021,0.4116044949835665,-0.04448005512475855,0.4446885484061203,0.7044938627663447,-0.1378671538411841,-0.4406388720358289,-0.1194684007450885,721.6483516483516,1461.025641025641,0,1081.465201465202,834.8717948717949,0.016235,0.366333,0.850281,-13.069458,4.426270,-70.102539,308644.688645,116952161.172161,18664542.124542,93.377472,1,2,4,4,2,70.000000
2025-11-11 10:02:29.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 10:02:30.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 10:02:30.301,0.7327472823067691,0.836721723528132,0.8732324626640258,0.376114215654512,0.9763312423494332,0.5132055821685301,0.38672621147639,-0.2423250181736182,0.8797830003333057,0.4860926015868686,0.2903084008986063,0.4695816387676991,1.101136687864021,0.4116044949835665,-0.04448005512475855,0.4446885484061203,0.7044938627663447,-0.1378671538411841,-0.4406388720358289,-0.1194684007450885,810.6959706959707,872.7472527472528,1031.904761904762,833.2600732600733,783.2967032967033,-0.252380,-0.027466,0.970459,6.265564,6.736603,-31.671753,298168.498168,122501318.681319,16504835.164835,93.377472,1,2,4,4,2,70.000000
2025-11-11 10:02:30.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 10:02:30.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-11-11 10:02:31.300,0.7327472823067691,0.836721723528132,0.8732324626640258,0.376114215654512,0.9763312423494332,0.5132055821685301,0.38672621147639,-0.2423250181736182,0.8797830003333057,0.4860926015868686,0.2903084008986063,0.4695816387676991,1.101136687864021,0.4116044949835665,-0.04448005512475855,0.4446885484061203,0.7044938627663447,-0.1378671538411841,-0.4406388720358289,-0.1194684007450885,854.6153846153846,1622.197802197802,624.1391941391942,909.4139194139194,614.0659340659341,0.014404,-0.003174,0.999756,10.175934,-56.599426,-96.533051,297362.637363,124256483.516484,16766739.926740,87.564423,1,2,4,4,2,70.000000
2025-11-11 10:02:31.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 10:02:32.301,0.7327472823067691,0.836721723528132,0.8732324626640258,0.376114215654512,0.9763312423494332,0.5132055821685301,0.38672621147639,-0.2423250181736182,0.8797830003333057,0.4860926015868686,0.2903084008986063,0.4695816387676991,1.101136687864021,0.4116044949835665,-0.04448005512475855,0.4446885484061203,0.7044938627663447,-0.1378671538411841,-0.4406388720358289,-0.1194684007450885,745.8241758241759,804.6520146520147,566.9230769230769,816.3369963369963,880.8058608058608,0.209290,0.261353,0.875793,-17.009735,-5.278625,-42.258911,297362.637363,124047765.567766,17170476.190476,86.800667,1,2,4,4,2,70.000000
2025-11-11 10:02:33.301,1.403982775683227,0.836721723528132,0.8732324626640258,0.376114215654512,1.344393510240336,0.5132055821685301,0.38672621147639,-0.2423250181736182,1.474102754069634,0.4860926015868686,0.2903084008986063,0.4695816387676991,0.8683743974206316,0.4116044949835665,-0.04448005512475855,0.4446885484061203,0.4592464647314679,-0.1378671538411841,-0.4406388720358289,-0.1194684007450885,770,129.3406593406594,4.432234432234432,628.5714285714286,933.992673992674,0.202759,0.312317,0.615723,19.492035,1.323395,1.465454,300586.080586,123821318.681319,17359853.479853,86.800667,1,1,4,4,2,70.000000
2025-11-11 10:02:33.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 10:02:34.300,1.596307123714049,0.836721723528132,0.8732324626640258,0.376114215654512,1.400530435316786,0.5132055821685301,0.38672621147639,-0.2423250181736182,1.485152429545955,0.4860926015868686,0.2903084008986063,0.4695816387676991,0.8751454293662814,0.4116044949835665,-0.04448005512475855,0.4446885484061203,0.4317550748039003,-0.1378671538411841,-0.4406388720358289,-0.1194684007450885,826.4102564102565,866.3003663003664,1293.003663003663,726.0805860805862,595.934065934066,0.031372,0.068359,0.976868,12.247009,37.615814,58.229370,315897.435897,123069450.549451,17608864.468864,86.800667,1,1,4,4,1,70.000000
2025-11-11 10:02:34.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 10:02:35.301,1.680434905639701,0.836721723528132,0.8732324626640258,0.376114215654512,1.349962343832072,0.5132055821685301,0.38672621147639,-0.2423250181736182,1.485152429545955,0.4860926015868686,0.2903084008986063,0.4695816387676991,0.9368690687478983,0.4116044949835665,-0.04448005512475855,0.4446885484061203,0.4101580909620079,-0.1378671538411841,-0.4406388720358289,-0.1194684007450885,799.4139194139194,12.49084249084249,887.2527472527473,765.9706959706959,868.3150183150184,-0.121582,0.330750,1.253601,-11.716156,6.407623,34.213867,510109.890110,123361978.021978,17797435.897436,86.800667,1,1,4,4,1,70.000000
2025-11-11 10:02:35.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
