TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-11-11 09:20:25.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-135C
2025-11-11 09:20:25.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 09:20:25.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 09:20:25.720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 09:20:26.023,1.05760424114604,0.9191687195271069,0,1.000696058232251,0.6799307848251891,0.6019580046036763,0,1.457822083663595,0.8913809884199889,0.2985299701211079,0,1.338603094362828,0.6427747791514433,0.2650401071485086,0,1.292224258911446,0.7651094407588095,0.1372675714236208,0,1.476598680555652,823.5897435897436,863.8827838827839,49.15750915750916,861.4652014652015,799.0109890109891,-0.091858,0.199158,0.930786,-15.888214,-48.808594,-42.101898,389230.769231,153251355.311355,85141611.721612,114.924309,1,1,1,4,1,95.000000
2025-11-11 09:20:26.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 09:20:26.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-11-11 09:20:26.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 09:20:27.022,1.05760424114604,0.9191687195271069,0,1.000696058232251,0.6799307848251891,0.6019580046036763,0,1.457822083663595,0.8913809884199889,0.2985299701211079,0,1.338603094362828,0.6427747791514433,0.2650401071485086,0,1.292224258911446,0.7651094407588095,0.1372675714236208,0,1.476598680555652,857.4358974358975,802.2344322344322,695.0549450549451,844.5421245421246,963.8095238095239,0.028931,0.062988,1.002930,-8.037567,21.443481,-18.505096,314285.714286,153136117.216117,85115824.175824,128.468277,1,2,1,2,2,95.000000
2025-11-11 09:20:27.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 09:20:27.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 09:20:28.023,1.05760424114604,0.9191687195271069,0,1.000696058232251,0.6799307848251891,0.6019580046036763,0,1.457822083663595,0.8913809884199889,0.2985299701211079,0,1.338603094362828,0.6427747791514433,0.2650401071485086,0,1.292224258911446,0.7651094407588095,0.1372675714236208,0,1.476598680555652,826.4102564102565,774.0293040293041,649.5238095238095,855.4212454212454,1247.875457875458,0.066956,-0.103699,1.073669,5.689850,11.095581,-43.739319,311868.131868,153376263.736264,87301318.681319,147.905991,1,2,1,2,2,95.000000
2025-11-11 09:20:28.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-11-11 09:20:28.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-11-11 09:20:28.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-11-11 09:20:28.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-11-11 09:20:29.022,1.05760424114604,0.9191687195271069,0,1.000696058232251,0.6799307848251891,0.6019580046036763,0,1.457822083663595,0.8913809884199889,0.2985299701211079,0,1.338603094362828,0.6427747791514433,0.2650401071485086,0,1.292224258911446,0.7651094407588095,0.1372675714236208,0,1.476598680555652,807.8754578754579,823.5897435897436,211.9413919413919,846.959706959707,755.0915750915751,-0.145569,-0.158508,0.993958,3.312225,-9.630127,0.747681,318315.018315,153175604.395604,88090256.410256,147.905991,1,2,1,2,2,95.000000
