Participant_ID,Delta_mean_before,Delta_mean_during,Delta_mean_change,Theta_mean_before,Theta_mean_during,Theta_mean_change,Alpha_mean_before,Alpha_mean_during,Alpha_mean_change,Beta_mean_before,Beta_mean_during,Beta_mean_change,Gamma_mean_before,Gamma_mean_during,Gamma_mean_change,Delta_relative_before,Delta_relative_during,Delta_relative_change,Theta_relative_before,Theta_relative_during,Theta_relative_change,Alpha_relative_before,Alpha_relative_during,Alpha_relative_change,Beta_relative_before,Beta_relative_during,Beta_relative_change,Gamma_relative_before,Gamma_relative_during,Gamma_relative_change,Theta_Beta_Ratio_before,Theta_Beta_Ratio_during,Theta_Beta_Ratio_change,Alpha_Delta_Ratio_before,Alpha_Delta_Ratio_during,Alpha_Delta_Ratio_change,Meditation_Index_before,Meditation_Index_during,Meditation_Index_change,Engagement_Index_before,Engagement_Index_during,Engagement_Index_change,Frontal_Alpha_Asymmetry_before,Frontal_Alpha_Asymmetry_during,Frontal_Alpha_Asymmetry_change,HeartRate_mean_before,HeartRate_mean_during,HeartRate_mean_change,Accelerometer_Magnitude_mean_before,Accelerometer_Magnitude_mean_during,Accelerometer_Magnitude_mean_change,Rows_original_before,Rows_original_during,Rows_original_change,Rows_after_HSI_filter_before,Rows_after_HSI_filter_during,Rows_after_HSI_filter_change
P11,0.4646795806301424,1.11733227104999,0.6526526904198475,0.24999351940756068,0.9278564072105193,0.6778628878029587,0.424724373144628,0.7837709193582064,0.3590465462135784,0.3805989589660567,0.5675440889408222,0.18694512997476548,0.06317583147354068,0.19700098406599514,0.13382515259245448,0.2935116988261682,0.3109310752211969,0.01741937639502872,0.15790670740759055,0.2582037571274408,0.10029704971985026,0.26827426358074125,0.21810766680366464,-0.050166596777076605,0.2404027456212094,0.15793609330192632,-0.08246665231928307,0.03990458456429064,0.05482140754577133,0.014916822981480692,0.6568423625926314,1.6348622517452858,0.9780198891526544,0.9140155729861597,0.7014662868563474,-0.21254928612981228,1.7727791331461908,3.015849094231686,1.243069961085495,0.5640860619931134,0.3315815774445302,-0.2325044845485832,0.15725002197591406,-0.009179911825764194,-0.16642993380167825,70.55086854716981,80.03403117333333,9.48316262616352,0.9997991597962954,1.0027553471798611,0.0029561873835657337,324,441,117,324,441,117
P12,0.050080519021328956,0.7754485379688871,0.7253680189475582,0.09280952416425739,0.5695011818366931,0.4766916576724357,0.3968463393735078,0.7230646011282482,0.32621826175474045,0.8119121408526205,0.8370757005360565,0.025163559683435976,0.6624639023792261,0.6451141557026674,-0.017349746676558753,0.024864808130887907,0.2184236453088928,0.1935588371780049,0.04607961451199087,0.16041364198108016,0.11433402746908929,0.19703286385200985,0.2036684554025031,0.006635591550493258,0.40311162895178654,0.23578241102817896,-0.16732921792360758,0.3289110845533247,0.18171184627934503,-0.14719923827397965,0.11430981197891005,0.6803460923211474,0.5660362803422374,7.924165865862803,0.9324469203619278,-6.9917189455008755,0.6030897173474441,1.5441444329792307,0.9410547156317866,1.6581280881363347,0.647607813519508,-1.0105202746168267,,,,78.57581384955752,119.12886687809188,40.553053028534364,0.9993622909940111,1.0117213185032685,0.012359027509257436,449,1164,715,449,1164,715
P13,0.3546800708496356,0.7826915722508458,0.42801150140121025,0.346943259985221,0.7513223195877875,0.4043790596025665,0.7139898514623725,0.9224209025959161,0.20843105113354365,1.1034963689217174,1.1427124931615056,0.03921612423978815,0.9315138251692403,1.035015295006378,0.1035014698371377,0.10278724513275742,0.16889601050882969,0.06610876537607227,0.1005450963901981,0.16212687971034956,0.06158178332015146,0.2069161926937721,0.19904802348947953,-0.007868169204292563,0.3197962363765013,0.24658446327530142,-0.07321177310119986,0.2699552294067712,0.22334462301603986,-0.046610606390731335,0.31440362628853685,0.6574902471829361,0.3430866208943993,2.0130531996117256,1.1785241278927279,-0.8345290717189977,0.9614287290172829,1.4647107056237851,0.5032819766065022,1.0401187002411947,0.6827286754718734,-0.35739002476932125,-0.031321770936501785,0.15822787889575254,0.18954964983225434,72.6610181375,88.16408730288461,15.503069165384616,1.0000505171888738,1.0010478907214218,0.0009973735325479183,299,1101,802,299,1101,802
P14,0.4387661489208916,1.1707151529583641,0.7319490040374725,0.2726196322086237,0.8838472216417413,0.6112275894331176,0.43837601587559344,0.7762557356717352,0.3378797197961418,0.31947045245538497,0.6725538416101757,0.35308338915479076,-0.03291834288637641,0.29142822932627366,0.32434657221265006,0.3054806800328437,0.30850508513088576,0.0030244050980420822,0.1898050495513711,0.23291008206927996,0.04310503251790887,0.3052090590149642,0.20455773653530557,-0.10065132247965863,0.22242383854472522,0.1772303703738177,-0.045193468170907525,-0.022918627143904042,0.07679672589071104,0.09971535303461508,0.8533485025401397,1.3141657469767827,0.46081724443664296,0.9991108406009496,0.663061150024546,-0.33604969057640355,2.2255443112802737,2.468356962082007,0.2428126508017332,0.4493282811451806,0.40512778960321894,-0.04420049154196165,0.22350318407265848,0.17377048292778596,-0.04973270114487252,56.173301289377285,94.9309430033956,38.75764171401831,1.000633563737075,1.012453839837485,0.011820276100410032,372,1095,723,372,1095,723
P15,0.3339686796839024,0.9863915172683863,0.6524228375844838,0.14881671752696424,0.6317404089713066,0.48292369144434233,0.46097997467060453,0.5959992834771982,0.13501930880659369,0.1643041743993507,0.5166450416157006,0.3523408672163499,-0.1573932398339502,0.2310970986825963,0.3884903385165465,0.3512958905351305,0.33302960684099747,-0.018266283694133023,0.15653773689086972,0.2132908245276818,0.05675308763681208,0.4848968797734166,0.20122375707730447,-0.2836731226961121,0.17282872549273193,0.1744318478752818,0.0016031223825498653,-0.1655592326921488,0.07802396367873436,0.24358319637088316,0.9057391150954978,1.2227745513547734,0.31703543625927566,1.3803090011521943,0.6042218257591051,-0.7760871753930892,3.7113889189170757,2.3763698352915625,-1.3350190836255131,0.2694409079315202,0.4208099198824023,0.1513690119508821,0.4469991224530511,0.31298483250149994,-0.13401428995155118,67.70694692022792,84.7905127586207,17.083565838392772,1.0002036883665006,0.9980848094798752,-0.0021188788866254304,369,480,111,369,480,111
P16,0.475911181083235,0.7237252826086688,0.24781410152543376,0.46626315129376494,0.5361531733723164,0.06989002207855144,0.5620846287003954,0.590041873252368,0.02795724455197257,0.49346948508468474,0.5024638591282604,0.00899437404357567,0.16125181631678262,0.30851649230917266,0.14726467599239004,0.2204333172257958,0.2719850792875986,0.051551762061802786,0.21596452704871813,0.2014931174496741,-0.014471409599044027,0.2603472752710719,0.2217451697985302,-0.03860210547254167,0.22856600111670358,0.18883224871121249,-0.039733752405491096,0.07468887933771064,0.11594438475298477,0.04125550541527413,0.9448672418189122,1.067048233682925,0.12218099186401277,1.1810704413815591,0.8152843177255896,-0.3657861236559695,2.083913617916384,2.2413453747271572,0.15743175681077304,0.4798663396613614,0.4461606012512604,-0.033705738410100994,0.7184864896338137,0.3251159113597314,-0.3933705782740823,87.16040773426573,125.22806496692915,38.06765723266342,1.002004396726176,1.0004859058877373,-0.0015184908384386908,406,1191,785,406,1191,785
P17,0.33806862018258754,0.7711117413263201,0.43304312114373256,0.19553772503041367,0.6493671631268286,0.45382943809641496,0.3537185116750633,0.63855538806512,0.2848368763900567,0.2649544052227521,0.46670246704413226,0.20174806182138016,0.07242279451399466,0.24652873473658501,0.17410594022259035,0.2760415223881307,0.27815219823356374,0.002110675845433063,0.1596614653928983,0.23423700380148188,0.07457553840858358,0.28882005199687955,0.23033702557647331,-0.05848302642040623,0.21634192887121212,0.1683469595548769,-0.047994969316335206,0.05913503135087938,0.08892681283360414,0.02979178148272476,0.7380051857074106,1.3913943228961403,0.6533891371887297,1.0462920559856261,0.828097088713496,-0.21819496727213017,2.07302171950569,2.7596223335801655,0.6866006140744756,0.4823876134970978,0.3623684255021451,-0.1200191879949527,,,,74.59708795986623,99.16194165720525,24.564853697339018,1.0022439670383532,1.0062863901360397,0.004042423097686543,366,819,453,366,819,453
P18,0.7203334035854296,1.2121910705529297,0.4918576669675001,0.49642574368035475,1.1063588922150713,0.6099331485347166,0.6795481506959122,0.9397015772159221,0.26015342652000983,0.3185653267840585,0.5671262606273509,0.24856093384329242,-0.06307324527720008,0.11951606851215174,0.18258931378935184,0.33475862594743167,0.30728103486907854,-0.027477591078353125,0.2307026149449678,0.28045339847404044,0.04975078352907264,0.315804603895622,0.23820706168319,-0.07759754221243198,0.14804601666105918,0.1437621085490366,-0.004283908112022589,-0.029311861449080684,0.030296396424654325,0.05960825787373501,1.558316935153649,1.9508158394767774,0.3924989043231284,0.9433800339030365,0.7752091234159033,-0.16817091048713317,3.6914685796091304,3.6077688717282395,-0.08369970788089098,0.27089489682338963,0.27717961863808843,0.0062847218146988015,-0.2715107665928208,0.5262543768998241,0.7977651434926449,70.61843984420291,94.94557280854701,24.327132964344102,1.0002934354905344,1.0019991334872564,0.0017056979967220443,375,1071,696,375,1071,696
P19,0.2760896135072267,1.6618047058893939,1.385715092382167,0.19147275803306926,1.2200904880198442,1.028617729986775,0.31944846508265107,0.8668303104764638,0.5473818453938126,0.3079059759293196,0.8007679900691678,0.49286201413984815,0.05810033820789987,0.3179471362077996,0.2598467979998997,0.23944970230946264,0.341412424307916,0.10196272199845338,0.16606236768189803,0.2506636609666746,0.08460129328477656,0.27705439149109234,0.17808749530827878,-0.09896689618281357,0.2670437085227413,0.1645152043611364,-0.10252850416160489,0.05038982999480554,0.06532121505599406,0.014931385061188518,0.6218546342115236,1.5236504245311513,0.9017957903196276,1.1570462974851803,0.521619843417484,-0.6354264540676963,1.6593416921307276,2.606149127309705,0.9468074351789773,0.6026486315280368,0.3837078966514428,-0.21894073487659405,,-0.6415581100906217,,95.39602083941605,99.2609536968641,3.8649328574480535,1.0000375744062722,1.0323752419168795,0.03233766751060729,350,519,169,350,519,169
P20,0.28824689028855044,0.9715829609599782,0.6833360706714278,0.17031682654041277,0.6820785708423214,0.5117617443019086,0.47788965011621864,0.6030357491778409,0.12514609906162222,0.5121619075978654,0.643555305565167,0.13139339796730165,0.19717681807296467,0.17951862725432358,-0.01765819081864109,0.1751417397019921,0.31547244698131305,0.14033070727932095,0.10348623456422831,0.2214705325467391,0.11798429798251078,0.29037060772154133,0.19580537231980058,-0.09456523540174075,0.31119477964180525,0.20896204973978844,-0.10223272990201682,0.11980663837043297,0.05828959841235889,-0.06151703995807408,0.33254489256967656,1.0598600694361822,0.7273151768665056,1.6579177996953436,0.620673450862094,-1.0372443488332497,1.2656280505062167,1.9968980271114094,0.7312699766051927,0.7901215523787003,0.5007766978700153,-0.28934485450868497,-0.8508907642385705,1.7951268299249146,2.646017594163485,103.46689599999999,103.466896,1.4210854715202004e-14,1.0003022332798268,1.0048715107131034,0.0045692774332766195,297,734,437,297,734,437
P21,0.3495772899206383,0.9893726619515321,0.6397953720308938,0.2540852974440022,0.639554950243814,0.3854696527998118,0.5719384605244593,0.6015937415894629,0.02965528106500359,0.3853328638094185,0.6438093382011908,0.2584764743917723,-0.035195319368012595,0.4729928641924292,0.5081881835604418,0.22912004171479516,0.2955712662211473,0.06645122450635216,0.16653265423134964,0.19106457428154358,0.024531920050193945,0.37486006016983936,0.1797238096326398,-0.19513625053719955,0.2525549696038282,0.19233555627237148,-0.06021941333145675,-0.023067725719812287,0.1413047935922978,0.16437251931211008,0.6593917137824769,0.9933918511196753,0.33400013733719847,1.6360858585931077,0.608055755657148,-1.0280301029359598,2.143662883571239,1.9278202694310984,-0.2158426141401404,0.4664912601994808,0.5187205549483619,0.052229294748881105,-1.1641739093828087,-0.07950405220785975,1.084669857174949,103.466896,103.466896,0.0,1.0009166797153248,1.0010779051912297,0.00016122547590491365,318,845,527,318,845,527
