Metric,N,Before_Mean,During_Mean,Mean_Change,Mean_Percent_Change,t_statistic,p_value,Cohens_d,CI_95_Lower,CI_95_Upper
Alpha_mean,21,0.5252421211995164,0.6854859930865504,0.16024387188703393,39.63927548703239,3.9020766575881525,0.000884468828824445,0.8515029357579997,0.07458105981626646,0.2459066839578014
Theta_mean,21,0.2926499805828061,0.7179590772520417,0.42530909666923555,197.66463710433558,8.02193835940259,1.1173445018701641e-07,1.7505304643920112,0.31471497468850423,0.5359032186499668
Beta_mean,21,0.48527774829991993,0.6253392638985746,0.1400615155986547,45.806512761712895,3.2946979487249504,0.0036201620952166637,0.7189620353356106,0.05138473658754239,0.22873829460976702
Theta_Beta_Ratio,21,0.7064638716506059,1.2875726933895182,0.5811088217389122,123.65020402961447,4.921017882109351,8.243224054205523e-05,1.073854140047494,0.3347834089746116,0.8274342345032129
Alpha_Delta_Ratio,21,1.5629412443215185,0.7543917452384721,-0.8085494990830465,-40.10938033699318,-2.563463309185877,0.018532036630706433,-0.5593935550279177,-1.4664893628402464,-0.1506096353258466
Meditation_Index,21,1.9880833190763596,2.4757398134837727,0.4876564944074132,43.3505445307712,2.090960903399576,0.04950380325564449,0.45628507690580017,0.0011655129156991628,0.9741474758991273
Engagement_Index,21,0.6263627070163095,0.44635090989043974,-0.1800117971258697,-17.667180788468787,-3.0358073213634698,0.0065272244692997795,-0.6624674688309157,-0.3037014747410322,-0.05632211951070719
Frontal_Alpha_Asymmetry,17,0.026100664608619928,0.22118823611864175,0.1950875715100218,486.14885474609446,0.9572792494899712,0.3526685256801789,0.23217432110936193,-0.23693597530413676,0.6271111183241803
HeartRate_mean,21,78.2576034275599,98.76148959679598,20.503886169236072,27.96398558673573,7.523184327006729,2.9721871695556176e-07,1.6416934116958923,14.818746045473723,26.18902629299842
Accelerometer_Magnitude_mean,21,1.0006703620800534,1.00582932780973,0.005158965729676314,0.5157305094606692,3.1793022130275856,0.0047135670630587476,0.6937806213495014,0.001774130562479661,0.008543800896872967
